,tablename
0,bdwi31fl
1,htwi42fl
2,egwi32fl
3,npwi31fl
4,amwi42fl
5,cowi41fl
6,kkwi42fl
7,mzwi31fl
8,bowi31fl
9,rwwi21fl
10,zmwi41fl
11,tgwi31fl
12,brwi31fl
13,kkwi31fl
14,tzwi3afl
15,drwi4afl
16,bjwi31fl
17,guwi33fl
18,niwi31fl
19,zawi31fl
20,pewi31fl
21,zwwi31fl
22,cfwi31fl
23,nmwi41fl
24,kywi31fl
25,jowi21fl
26,bfwi21fl
27,etwi41fl
28,ugwi41fl
29,phwi3afl
30,ncwi31fl
31,trwi41fl
32,pkwi21fl
33,tdwi31fl
34,ciwi3afl
35,idwi3afl
36,jowi31fl
37,vnwi41fl
38,tzwi41fl
39,drwi32fl
40,kewi31fl
41,bfwi31fl
42,khwi41fl
43,jowi41fl
44,mwwi42fl
45,cowi22fl
46,nmwi21fl
47,ncwi41fl
48,vnwi31fl
49,iawi22fl
50,ngwi21fl
51,snwi32fl
52,cowi31fl
53,uzwi31fl
54,pywi21fl
55,egwi41fl
56,drwi41fl
57,bdwi41fl
58,mlwi42fl
59,npwi41fl
60,zmwi31fl
61,mawi21fl
62,pewi41fl
63,ciwi34fl
64,iawi41fl
65,kmwi32fl
66,pewi21fl
67,ghwi41fl
68,cmwi22fl
69,egwi4afl
70,kewi3afl
71,ugwi33fl
72,mlwi32fl
73,trwi31fl
74,cmwi31fl
75,phwi31fl
76,gawi41fl
77,bdwi3afl
78,bowi3bfl
79,ghwi31fl
80,htwi31fl
81,guwi42fl
82,mdwi31fl
83,gnwi41fl
84,mwwi22fl
85,bjwi41fl
86,zwwi42fl
87,rwwi42fl
