,fields
18,_col8081
63,b0
68,b1
81,b10
1,b11
83,b12
28,b2
27,b3
106,b4
70,b5
66,b6
53,b7
96,b8
86,b9
23,bidx
67,bord
98,caseid
31,m1
12,m13
7,m14
51,m15
90,m27
100,m2a
8,m2b
88,m2c
108,m2d
101,m2e
22,m2f
25,m2g
43,m2h
48,m2i
87,m2j
46,m2k
39,m2l
94,m2m
79,m2n
33,m3a
44,m3b
64,m3c
13,m3d
85,m3e
74,m3f
0,m3g
77,m3h
69,m3i
103,m3j
84,m3k
14,m3l
42,m3m
40,m3n
29,m43
73,m44
102,midx
56,tablename
32,v000
5,v001
49,v002
35,v003
93,v004
16,v005
95,v006
55,v007
99,v008
72,v009
10,v010
61,v011
105,v012
50,v013
47,v014
19,v101
36,v102
34,v104
54,v106
11,v107
30,v113
107,v116
45,v119
110,v120
9,v121
92,v122
91,v123
75,v124
62,v125
6,v127
15,v130
38,v131
37,v133
4,v134
26,v135
57,v136
41,v137
97,v138
104,v153
65,v190
21,v191
2,v201
82,v208
17,v209
3,v210
78,v213
52,v218
109,v219
59,v220
89,v224
20,v404
76,v407
24,v408
80,v422
58,v459
60,v460
71,v462
