,fields
11982,_col8081
19379,aidsex
18546,aisexact
7528,awfac1s
16634,awfac2s
18962,awfacms
3007,awfacr1s
2030,awfactb
15139,awfactb_r
18806,awfactc
18461,awfactcs
4117,awfacte
20458,awfacte1
13533,awfacte2
9177,awfacte3
9722,awfacte4
21697,awfacte5
649,awfacte6
7606,awfacte_q
1632,awfacte_r
19268,awfactee
10538,awfactes
21045,awfactez
15131,awfactg
154,awfactk
10816,awfactl
5383,awfactm
16404,awfactme
19423,awfactp
21554,awfactr
17581,awfactr1
6738,awfactr2
2959,awfactre
15710,awfactrg
14053,awfactrl
10798,awfactrm
9391,awfactrs
8103,awfactru
15611,awfacts
10551,awfactsl
19376,awfactsm
20817,awfactt
15126,awfactts
20025,awfactu
19992,awfactu2
20298,awfactul
1407,awfactus
6075,awfactw
4120,awfactws
923,awfatoll
4255,awfeduc2
9203,awfeduc3
14054,b0
8114,b0_92
12594,b0_x
13361,b1
6065,b10
20645,b10_92
20122,b10_x
6879,b11
5781,b11_92
19206,b11_x
10106,b12
21417,b12_92
2939,b12_x
12626,b13
10877,b13_92
15883,b13_x
3612,b14
17315,b15
90,b16
4968,b16_92
6394,b16_x
10197,b17
19341,b18
20686,b19
14241,b1_92
18699,b1_x
10657,b2
8890,b20
17294,b2_92
4831,b2_x
12282,b3
17961,b3_92
6347,b3_x
3682,b4
17795,b4_92
7810,b4_x
6557,b5
4193,b5_92
1709,b5_x
5228,b6
7149,b606d
11141,b606m
7393,b606y
11029,b610d
6276,b610m
17267,b610y
1651,b6_92
19396,b6_x
21306,b7
7231,b7_92
17605,b7_x
18672,b8
18432,b8_92
9342,b8_x
18323,b9
10826,b9_92
5010,b9_x
13556,bidx
11191,bidx97
13128,bidx98
20188,bord
15807,bord92
18694,bord97
19984,bord98
16151,caseid
13791,cc10
9496,cc11
19763,cc12
19150,cc13
17838,cc14
16567,cc15
15844,cc16
278,cc2
8007,cc3a
7338,cc3b
20697,cc3c
4885,cc3d
621,cc3e
20400,cc3f
16833,cc3g
4034,cc4
537,cc5
15146,cc6
3949,cc7
6596,cc8
18879,cc9
15380,cret1
17823,cret2
2429,cret3
1521,crscr
5600,d005s
15104,d123
11746,d124
21260,d1606d
13996,d1606m
727,d1606y
2170,d1610d
13634,d1610m
19902,d1610y
7989,d2606d
18598,d2606m
2873,d2606y
18225,d2610d
15557,d2610m
3352,d2610y
19745,d3606d
9762,d3606m
11366,d3606y
13107,d3610d
16048,d3610m
18452,d3610y
20414,d444i1
20186,d444i2
13816,d444yf
2388,da606d
16844,da606m
6590,da606y
9613,da610d
11440,da610m
11508,da610y
10622,dayp0
16331,db
2325,dbd
2997,dbm
18930,dby
1236,dhb
13679,dhb1
7473,dhb2
12280,dhb3
16593,dpe1
4904,dpe2
12921,dpe3
21793,dpt1
16774,dpt1d
12085,dpt1m
5662,dpt1y
21209,dpt2
21754,dpt2d
16022,dpt2m
12698,dpt2y
6736,dpt3
12959,dpt3d
8267,dpt3m
12484,dpt3y
4652,dpt4
13359,dpt4d
13312,dpt4m
11011,dpt4y
7611,dptb
8126,dptbd
4200,dptbm
9776,dptby
3757,dsrt
2979,dvita
14391,educ
20981,educ2
5208,educrpt
5914,fg100
10371,fg103
13109,fg104
13207,fg105
3662,fg106
20912,fg107
11053,fg108
14833,fg109
12934,fg110
13701,fg111
742,fg112
18239,fg113
17384,fg114
21194,fg115
4344,fg116
17308,fg117a
17278,fg117b
12681,fg117c
1222,fg117d
268,fg118
8954,fg119a
